id_caranguejo,forma_cor,sexo,indice_no_grupo,largura_lobo_frontal_mm,largura_posterior_mm,comprimento_carapaca_mm,largura_carapaca_mm,profundidade_corpo_mm,classe_largura_carapaca
152,laranja,fêmea,2,11.4,9.2,21.7,24.1,9.7,largura_carapaca_Q1
153,laranja,fêmea,3,12.5,10,24.1,27,10.9,largura_carapaca_Q1
154,laranja,fêmea,4,12.6,11.5,25,28.1,11.5,largura_carapaca_Q1
155,laranja,fêmea,5,12.9,11.2,25.8,29.1,11.9,largura_carapaca_Q1
156,laranja,fêmea,6,14,11.9,27,31.4,12.6,largura_carapaca_Q1
157,laranja,fêmea,7,14,12.8,28.8,32.4,12.7,largura_carapaca_Q2
158,laranja,fêmea,8,14.3,12.2,28.1,31.8,12.5,largura_carapaca_Q2
159,laranja,fêmea,9,14.7,13.2,29.6,33.4,12.9,largura_carapaca_Q2
160,laranja,fêmea,10,14.9,13,30,33.7,13.3,largura_carapaca_Q2
161,laranja,fêmea,11,15,12.3,30.1,33.3,14,largura_carapaca_Q2
162,laranja,fêmea,12,15.6,13.5,31.2,35.1,14.1,largura_carapaca_Q2
163,laranja,fêmea,13,15.6,14,31.6,35.3,13.8,largura_carapaca_Q2
164,laranja,fêmea,14,15.6,14.1,31,34.5,13.8,largura_carapaca_Q2
165,laranja,fêmea,15,15.7,13.6,31,34.8,13.8,largura_carapaca_Q2
166,laranja,fêmea,16,16.1,13.6,31.6,36,14,largura_carapaca_Q2
167,laranja,fêmea,17,16.1,13.7,31.4,36.1,13.9,largura_carapaca_Q2
168,laranja,fêmea,18,16.2,14,31.6,35.6,13.7,largura_carapaca_Q2
169,laranja,fêmea,19,16.7,14.3,32.3,37,14.7,largura_carapaca_Q3
170,laranja,fêmea,20,17.1,14.5,33.1,37.2,14.6,largura_carapaca_Q3
171,laranja,fêmea,21,17.5,14.3,34.5,39.6,15.6,largura_carapaca_Q3
172,laranja,fêmea,22,17.5,14.4,34.5,39,16,largura_carapaca_Q3
173,laranja,fêmea,23,17.5,14.7,33.3,37.6,14.6,largura_carapaca_Q3
174,laranja,fêmea,24,17.6,14,34,38.6,15.5,largura_carapaca_Q3
175,laranja,fêmea,25,18,14.9,34.7,39.5,15.7,largura_carapaca_Q3
176,laranja,fêmea,26,18,16.3,37.9,43,17.2,largura_carapaca_Q4
177,laranja,fêmea,27,18.3,15.7,35.1,40.5,16.1,largura_carapaca_Q3
178,laranja,fêmea,28,18.4,15.5,35.6,40,15.9,largura_carapaca_Q3
179,laranja,fêmea,29,18.4,15.7,36.5,41.6,16.4,largura_carapaca_Q3
180,laranja,fêmea,30,18.5,14.6,37,42,16.6,largura_carapaca_Q3
181,laranja,fêmea,31,18.6,14.5,34.7,39.4,15,largura_carapaca_Q3
182,laranja,fêmea,32,18.8,15.2,35.8,40.5,16.6,largura_carapaca_Q3
183,laranja,fêmea,33,18.9,16.7,36.3,41.7,15.3,largura_carapaca_Q3
184,laranja,fêmea,34,19.1,16,37.8,42.3,16.8,largura_carapaca_Q4
185,laranja,fêmea,35,19.1,16.3,37.9,42.6,17.2,largura_carapaca_Q4
186,laranja,fêmea,36,19.7,16.7,39.9,43.6,18.2,largura_carapaca_Q4
187,laranja,fêmea,37,19.9,16.6,39.4,43.9,17.9,largura_carapaca_Q4
188,laranja,fêmea,38,19.9,17.9,40.1,46.4,17.9,largura_carapaca_Q4
189,laranja,fêmea,39,20,16.7,40.4,45.1,17.7,largura_carapaca_Q4
190,laranja,fêmea,40,20.1,17.2,39.8,44.1,18.6,largura_carapaca_Q4
191,laranja,fêmea,41,20.3,16,39.4,44.1,18,largura_carapaca_Q4
192,laranja,fêmea,42,20.5,17.5,40,45.5,19.2,largura_carapaca_Q4
193,laranja,fêmea,43,20.6,17.5,41.5,46.2,19.2,largura_carapaca_Q4
194,laranja,fêmea,44,20.9,16.5,39.9,44.7,17.5,largura_carapaca_Q4
195,laranja,fêmea,45,21.3,18.4,43.8,48.4,20,largura_carapaca_Q4
196,laranja,fêmea,46,21.4,18,41.2,46.2,18.7,largura_carapaca_Q4
197,laranja,fêmea,47,21.7,17.1,41.7,47.2,19.6,largura_carapaca_Q4
198,laranja,fêmea,48,21.9,17.2,42.6,47.4,19.5,largura_carapaca_Q4
199,laranja,fêmea,49,22.5,17.2,43,48.7,19.8,largura_carapaca_Q4
200,laranja,fêmea,50,23.1,20.2,46.2,52.5,21.1,largura_carapaca_Q4
