id_peixe,id_lance_rede,codigo_local,local_regional,grade_amostral,ano,comprimento_total_mm,peso_g,sexo,maturidade,idade_anos,classe_comprimento
25,2003001,1,Toledo a Huron,940,2003,393,531,macho,imaturo,2,comprimento_Q1
26,2003001,1,Toledo a Huron,940,2003,394,566,fêmea,maduro,2,comprimento_Q1
27,2003001,1,Toledo a Huron,940,2003,395,573,macho,maduro,2,comprimento_Q1
28,2003001,1,Toledo a Huron,940,2003,395,573,macho,maduro,2,comprimento_Q1
29,2003001,1,Toledo a Huron,940,2003,395,579,macho,maduro,2,comprimento_Q1
30,2003001,1,Toledo a Huron,940,2003,396,608,macho,maduro,2,comprimento_Q2
31,2003001,1,Toledo a Huron,940,2003,396,563,macho,maduro,2,comprimento_Q2
32,2003001,1,Toledo a Huron,940,2003,396,682,macho,maduro,2,comprimento_Q2
33,2003001,1,Toledo a Huron,940,2003,397,627,macho,maduro,2,comprimento_Q2
34,2003001,1,Toledo a Huron,940,2003,400,619,macho,maduro,2,comprimento_Q2
35,2003001,1,Toledo a Huron,940,2003,400,593,macho,maduro,2,comprimento_Q2
36,2003001,1,Toledo a Huron,940,2003,400,638,macho,maduro,2,comprimento_Q2
37,2003001,1,Toledo a Huron,940,2003,401,630,fêmea,imaturo,2,comprimento_Q2
38,2003001,1,Toledo a Huron,940,2003,401,611,macho,maduro,2,comprimento_Q2
39,2003001,1,Toledo a Huron,940,2003,401,655,macho,maduro,2,comprimento_Q2
40,2003001,1,Toledo a Huron,940,2003,401,590,macho,maduro,2,comprimento_Q2
41,2003001,1,Toledo a Huron,940,2003,401,564,macho,maduro,2,comprimento_Q2
42,2003001,1,Toledo a Huron,940,2003,401,618,macho,maduro,2,comprimento_Q2
43,2003001,1,Toledo a Huron,940,2003,401,630,macho,maduro,2,comprimento_Q2
44,2003001,1,Toledo a Huron,940,2003,401,605,macho,maduro,2,comprimento_Q2
45,2003001,1,Toledo a Huron,940,2003,401,626,macho,maduro,2,comprimento_Q2
46,2003001,1,Toledo a Huron,940,2003,402,694,macho,maduro,2,comprimento_Q2
47,2003001,1,Toledo a Huron,940,2003,402,616,macho,maduro,2,comprimento_Q2
48,2003001,1,Toledo a Huron,940,2003,403,640,macho,maduro,2,comprimento_Q2
49,2003001,1,Toledo a Huron,940,2003,404,636,macho,maduro,2,comprimento_Q2
50,2003001,1,Toledo a Huron,940,2003,405,634,macho,maduro,2,comprimento_Q2
51,2003001,1,Toledo a Huron,940,2003,405,653,macho,maduro,2,comprimento_Q2
52,2003001,1,Toledo a Huron,940,2003,405,582,macho,maduro,2,comprimento_Q2
53,2003001,1,Toledo a Huron,940,2003,405,622,fêmea,imaturo,2,comprimento_Q2
54,2003001,1,Toledo a Huron,940,2003,406,644,macho,maduro,2,comprimento_Q2
55,2003001,1,Toledo a Huron,940,2003,406,651,macho,maduro,2,comprimento_Q2
56,2003001,1,Toledo a Huron,940,2003,406,752,macho,maduro,2,comprimento_Q2
57,2003001,1,Toledo a Huron,940,2003,406,558,macho,maduro,2,comprimento_Q2
58,2003001,1,Toledo a Huron,940,2003,407,645,macho,maduro,2,comprimento_Q2
59,2003001,1,Toledo a Huron,940,2003,408,634,macho,maduro,2,comprimento_Q2
60,2003001,1,Toledo a Huron,940,2003,409,664,macho,maduro,2,comprimento_Q2
61,2003001,1,Toledo a Huron,940,2003,410,709,fêmea,imaturo,2,comprimento_Q2
62,2003001,1,Toledo a Huron,940,2003,410,699,macho,maduro,2,comprimento_Q2
63,2003001,1,Toledo a Huron,940,2003,410,615,macho,maduro,2,comprimento_Q2
64,2003001,1,Toledo a Huron,940,2003,410,663,macho,maduro,2,comprimento_Q2
65,2003001,1,Toledo a Huron,940,2003,411,612,fêmea,maduro,2,comprimento_Q2
66,2003001,1,Toledo a Huron,940,2003,411,623,macho,maduro,2,comprimento_Q2
67,2003001,1,Toledo a Huron,940,2003,411,709,macho,maduro,2,comprimento_Q2
68,2003001,1,Toledo a Huron,940,2003,411,664,macho,maduro,2,comprimento_Q2
69,2003001,1,Toledo a Huron,940,2003,413,680,fêmea,imaturo,2,comprimento_Q2
70,2003001,1,Toledo a Huron,940,2003,413,695,macho,maduro,2,comprimento_Q2
71,2003001,1,Toledo a Huron,940,2003,414,698,macho,maduro,2,comprimento_Q2
72,2003001,1,Toledo a Huron,940,2003,414,659,macho,maduro,2,comprimento_Q2
73,2003001,1,Toledo a Huron,940,2003,415,683,fêmea,imaturo,2,comprimento_Q2
74,2003001,1,Toledo a Huron,940,2003,415,684,fêmea,maduro,2,comprimento_Q2
75,2003001,1,Toledo a Huron,940,2003,415,686,macho,maduro,2,comprimento_Q2
76,2003001,1,Toledo a Huron,940,2003,415,745,macho,maduro,2,comprimento_Q2
77,2003001,1,Toledo a Huron,940,2003,415,705,macho,maduro,2,comprimento_Q2
78,2003001,1,Toledo a Huron,940,2003,416,673,macho,maduro,2,comprimento_Q2
79,2003001,1,Toledo a Huron,940,2003,416,715,fêmea,imaturo,2,comprimento_Q2
80,2003001,1,Toledo a Huron,940,2003,417,738,macho,maduro,2,comprimento_Q2
81,2003001,1,Toledo a Huron,940,2003,417,730,macho,imaturo,2,comprimento_Q2
82,2003001,1,Toledo a Huron,940,2003,417,658,macho,maduro,2,comprimento_Q2
83,2003001,1,Toledo a Huron,940,2003,417,701,macho,maduro,2,comprimento_Q2
84,2003001,1,Toledo a Huron,940,2003,418,716,macho,maduro,2,comprimento_Q2
85,2003001,1,Toledo a Huron,940,2003,420,706,macho,maduro,2,comprimento_Q2
86,2003001,1,Toledo a Huron,940,2003,420,706,macho,maduro,2,comprimento_Q2
87,2003001,1,Toledo a Huron,940,2003,420,690,macho,maduro,2,comprimento_Q2
88,2003001,1,Toledo a Huron,940,2003,420,791,fêmea,maduro,2,comprimento_Q2
89,2003001,1,Toledo a Huron,940,2003,421,564,fêmea,imaturo,2,comprimento_Q2
90,2003001,1,Toledo a Huron,940,2003,421,707,fêmea,imaturo,2,comprimento_Q2
91,2003001,1,Toledo a Huron,940,2003,421,722,fêmea,maduro,2,comprimento_Q2
92,2003001,1,Toledo a Huron,940,2003,421,740,macho,maduro,2,comprimento_Q2
93,2003001,1,Toledo a Huron,940,2003,421,757,macho,maduro,2,comprimento_Q2
94,2003001,1,Toledo a Huron,940,2003,421,770,macho,maduro,2,comprimento_Q2
95,2003001,1,Toledo a Huron,940,2003,422,757,macho,imaturo,2,comprimento_Q2
96,2003001,1,Toledo a Huron,940,2003,423,723,macho,maduro,2,comprimento_Q2
97,2003001,1,Toledo a Huron,940,2003,424,721,fêmea,imaturo,2,comprimento_Q2
98,2003001,1,Toledo a Huron,940,2003,424,824,macho,maduro,2,comprimento_Q2
99,2003001,1,Toledo a Huron,940,2003,424,783,macho,maduro,2,comprimento_Q2
100,2003001,1,Toledo a Huron,940,2003,426,761,macho,maduro,2,comprimento_Q2
101,2003001,1,Toledo a Huron,940,2003,427,881,macho,maduro,2,comprimento_Q2
102,2003001,1,Toledo a Huron,940,2003,427,773,fêmea,imaturo,2,comprimento_Q2
103,2003001,1,Toledo a Huron,940,2003,429,760,macho,maduro,2,comprimento_Q2
104,2003001,1,Toledo a Huron,940,2003,429,859,fêmea,maduro,2,comprimento_Q2
105,2003001,1,Toledo a Huron,940,2003,429,771,fêmea,imaturo,2,comprimento_Q2
106,2003001,1,Toledo a Huron,940,2003,429,735,fêmea,imaturo,2,comprimento_Q2
107,2003001,1,Toledo a Huron,940,2003,430,719,fêmea,imaturo,2,comprimento_Q2
108,2003001,1,Toledo a Huron,940,2003,430,726,macho,maduro,2,comprimento_Q2
109,2003001,1,Toledo a Huron,940,2003,430,759,macho,maduro,2,comprimento_Q2
110,2003001,1,Toledo a Huron,940,2003,430,800,fêmea,imaturo,2,comprimento_Q2
111,2003001,1,Toledo a Huron,940,2003,431,789,fêmea,imaturo,2,comprimento_Q2
112,2003001,1,Toledo a Huron,940,2003,431,791,fêmea,imaturo,2,comprimento_Q2
113,2003001,1,Toledo a Huron,940,2003,431,761,fêmea,maduro,2,comprimento_Q2
114,2003001,1,Toledo a Huron,940,2003,431,815,macho,maduro,2,comprimento_Q2
115,2003001,1,Toledo a Huron,940,2003,432,749,macho,maduro,2,comprimento_Q2
116,2003001,1,Toledo a Huron,940,2003,435,794,macho,maduro,2,comprimento_Q2
117,2003001,1,Toledo a Huron,940,2003,436,855,macho,maduro,2,comprimento_Q2
118,2003001,1,Toledo a Huron,940,2003,438,799,macho,maduro,4,comprimento_Q2
119,2003001,1,Toledo a Huron,940,2003,440,782,fêmea,imaturo,2,comprimento_Q2
120,2003001,1,Toledo a Huron,940,2003,440,774,macho,maduro,2,comprimento_Q2
121,2003001,1,Toledo a Huron,940,2003,440,750,fêmea,imaturo,2,comprimento_Q2
122,2003001,1,Toledo a Huron,940,2003,441,753,fêmea,imaturo,2,comprimento_Q2
123,2003001,1,Toledo a Huron,940,2003,441,906,fêmea,imaturo,2,comprimento_Q2
124,2003001,1,Toledo a Huron,940,2003,444,847,macho,maduro,3,comprimento_Q2
125,2003001,1,Toledo a Huron,940,2003,445,853,fêmea,maduro,2,comprimento_Q2
126,2003001,1,Toledo a Huron,940,2003,445,829,fêmea,imaturo,2,comprimento_Q2
127,2003001,1,Toledo a Huron,940,2003,445,851,macho,maduro,2,comprimento_Q2
128,2003001,1,Toledo a Huron,940,2003,445,874,fêmea,maduro,2,comprimento_Q2
129,2003001,1,Toledo a Huron,940,2003,450,918,fêmea,maduro,2,comprimento_Q2
130,2003001,1,Toledo a Huron,940,2003,451,961,fêmea,maduro,2,comprimento_Q2
131,2003001,1,Toledo a Huron,940,2003,452,949,macho,maduro,7,comprimento_Q2
132,2003001,1,Toledo a Huron,940,2003,456,923,macho,maduro,3,comprimento_Q2
133,2003001,1,Toledo a Huron,940,2003,458,877,fêmea,imaturo,2,comprimento_Q3
134,2003001,1,Toledo a Huron,940,2003,460,919,fêmea,imaturo,2,comprimento_Q3
135,2003001,1,Toledo a Huron,940,2003,461,1053,fêmea,imaturo,2,comprimento_Q3
136,2003001,1,Toledo a Huron,940,2003,469,950,macho,maduro,3,comprimento_Q3
137,2003001,1,Toledo a Huron,940,2003,470,1052,macho,maduro,3,comprimento_Q3
138,2003001,1,Toledo a Huron,940,2003,471,1027,macho,maduro,3,comprimento_Q3
139,2003001,1,Toledo a Huron,940,2003,474,1085,macho,maduro,4,comprimento_Q3
140,2003001,1,Toledo a Huron,940,2003,474,1127,macho,maduro,4,comprimento_Q3
141,2003001,1,Toledo a Huron,940,2003,475,951,macho,maduro,4,comprimento_Q3
142,2003001,1,Toledo a Huron,940,2003,479,1207,macho,maduro,4,comprimento_Q3
143,2003001,1,Toledo a Huron,940,2003,481,1081,macho,maduro,3,comprimento_Q3
144,2003001,1,Toledo a Huron,940,2003,481,1022,macho,maduro,4,comprimento_Q3
145,2003001,1,Toledo a Huron,940,2003,491,1096,macho,maduro,4,comprimento_Q3
146,2003001,1,Toledo a Huron,940,2003,502,1191,macho,maduro,4,comprimento_Q3
147,2003001,1,Toledo a Huron,940,2003,502,1395,macho,maduro,4,comprimento_Q3
148,2003001,1,Toledo a Huron,940,2003,503,1281,macho,maduro,4,comprimento_Q3
149,2003001,1,Toledo a Huron,940,2003,531,1524,fêmea,maduro,4,comprimento_Q4
150,2003001,1,Toledo a Huron,940,2003,540,1483,macho,maduro,5,comprimento_Q4
151,2003001,1,Toledo a Huron,940,2003,547,1437,fêmea,maduro,4,comprimento_Q4
152,2003001,1,Toledo a Huron,940,2003,555,1731,fêmea,maduro,4,comprimento_Q4
153,2003001,1,Toledo a Huron,940,2003,555,1587,fêmea,maduro,4,comprimento_Q4
154,2003001,1,Toledo a Huron,940,2003,572,2051,macho,maduro,5,comprimento_Q4
155,2003002,1,Toledo a Huron,943,2003,384,558,fêmea,maduro,2,comprimento_Q1
156,2003002,1,Toledo a Huron,943,2003,384,607,macho,maduro,2,comprimento_Q1
157,2003002,1,Toledo a Huron,943,2003,385,594,macho,maduro,2,comprimento_Q1
158,2003002,1,Toledo a Huron,943,2003,386,577,macho,maduro,2,comprimento_Q1
159,2003002,1,Toledo a Huron,943,2003,391,561,macho,maduro,2,comprimento_Q1
160,2003002,1,Toledo a Huron,943,2003,392,591,macho,maduro,2,comprimento_Q1
161,2003002,1,Toledo a Huron,943,2003,394,546,macho,maduro,2,comprimento_Q1
162,2003002,1,Toledo a Huron,943,2003,398,612,macho,maduro,2,comprimento_Q2
163,2003002,1,Toledo a Huron,943,2003,401,658,macho,maduro,2,comprimento_Q2
164,2003002,1,Toledo a Huron,943,2003,401,677,macho,maduro,2,comprimento_Q2
165,2003002,1,Toledo a Huron,943,2003,402,662,macho,maduro,2,comprimento_Q2
166,2003002,1,Toledo a Huron,943,2003,402,759,macho,maduro,2,comprimento_Q2
167,2003002,1,Toledo a Huron,943,2003,403,718,macho,maduro,2,comprimento_Q2
168,2003002,1,Toledo a Huron,943,2003,403,617,macho,maduro,2,comprimento_Q2
169,2003002,1,Toledo a Huron,943,2003,405,738,macho,maduro,2,comprimento_Q2
170,2003002,1,Toledo a Huron,943,2003,406,656,macho,maduro,2,comprimento_Q2
171,2003002,1,Toledo a Huron,943,2003,407,607,macho,maduro,2,comprimento_Q2
172,2003002,1,Toledo a Huron,943,2003,408,676,fêmea,imaturo,2,comprimento_Q2
173,2003002,1,Toledo a Huron,943,2003,411,713,macho,maduro,2,comprimento_Q2
174,2003002,1,Toledo a Huron,943,2003,414,680,macho,maduro,2,comprimento_Q2
175,2003002,1,Toledo a Huron,943,2003,426,750,fêmea,imaturo,2,comprimento_Q2
176,2003002,1,Toledo a Huron,943,2003,433,950,macho,maduro,3,comprimento_Q2
177,2003002,1,Toledo a Huron,943,2003,440,840,fêmea,imaturo,2,comprimento_Q2
178,2003002,1,Toledo a Huron,943,2003,449,958,macho,maduro,3,comprimento_Q2
179,2003002,1,Toledo a Huron,943,2003,460,1074,macho,maduro,4,comprimento_Q3
180,2003002,1,Toledo a Huron,943,2003,475,1114,macho,maduro,4,comprimento_Q3
181,2003002,1,Toledo a Huron,943,2003,492,1272,macho,maduro,4,comprimento_Q3
182,2003002,1,Toledo a Huron,943,2003,541,1859,macho,maduro,6,comprimento_Q4
183,2003002,1,Toledo a Huron,943,2003,556,1553,fêmea,maduro,4,comprimento_Q4
184,2003003,1,Toledo a Huron,909,2003,386,547,macho,maduro,2,comprimento_Q1
185,2003003,1,Toledo a Huron,909,2003,387,593,macho,maduro,2,comprimento_Q1
186,2003003,1,Toledo a Huron,909,2003,388,547,macho,maduro,2,comprimento_Q1
187,2003003,1,Toledo a Huron,909,2003,391,567,macho,maduro,2,comprimento_Q1
188,2003003,1,Toledo a Huron,909,2003,391,599,macho,maduro,2,comprimento_Q1
189,2003003,1,Toledo a Huron,909,2003,393,578,macho,maduro,2,comprimento_Q1
190,2003003,1,Toledo a Huron,909,2003,394,660,macho,maduro,2,comprimento_Q1
191,2003003,1,Toledo a Huron,909,2003,395,559,macho,maduro,2,comprimento_Q1
192,2003003,1,Toledo a Huron,909,2003,395,615,macho,maduro,2,comprimento_Q1
193,2003003,1,Toledo a Huron,909,2003,395,658,macho,maduro,2,comprimento_Q1
194,2003003,1,Toledo a Huron,909,2003,395,576,macho,maduro,2,comprimento_Q1
195,2003003,1,Toledo a Huron,909,2003,395,607,macho,maduro,2,comprimento_Q1
196,2003003,1,Toledo a Huron,909,2003,396,604,macho,maduro,2,comprimento_Q2
197,2003003,1,Toledo a Huron,909,2003,397,613,macho,maduro,2,comprimento_Q2
198,2003003,1,Toledo a Huron,909,2003,397,536,macho,maduro,2,comprimento_Q2
199,2003003,1,Toledo a Huron,909,2003,400,616,macho,maduro,2,comprimento_Q2
200,2003003,1,Toledo a Huron,909,2003,402,646,macho,maduro,2,comprimento_Q2
201,2003003,1,Toledo a Huron,909,2003,402,633,fêmea,imaturo,2,comprimento_Q2
202,2003003,1,Toledo a Huron,909,2003,402,649,macho,maduro,2,comprimento_Q2
203,2003003,1,Toledo a Huron,909,2003,403,676,macho,maduro,2,comprimento_Q2
204,2003003,1,Toledo a Huron,909,2003,403,586,fêmea,maduro,2,comprimento_Q2
205,2003003,1,Toledo a Huron,909,2003,405,647,fêmea,imaturo,2,comprimento_Q2
206,2003003,1,Toledo a Huron,909,2003,405,682,fêmea,imaturo,2,comprimento_Q2
207,2003003,1,Toledo a Huron,909,2003,405,623,fêmea,imaturo,2,comprimento_Q2
208,2003003,1,Toledo a Huron,909,2003,406,723,macho,maduro,2,comprimento_Q2
209,2003003,1,Toledo a Huron,909,2003,406,704,macho,maduro,2,comprimento_Q2
210,2003003,1,Toledo a Huron,909,2003,407,669,fêmea,maduro,2,comprimento_Q2
211,2003003,1,Toledo a Huron,909,2003,407,703,macho,maduro,2,comprimento_Q2
212,2003003,1,Toledo a Huron,909,2003,407,703,macho,maduro,2,comprimento_Q2
213,2003003,1,Toledo a Huron,909,2003,408,684,macho,maduro,2,comprimento_Q2
214,2003003,1,Toledo a Huron,909,2003,408,640,macho,maduro,2,comprimento_Q2
215,2003003,1,Toledo a Huron,909,2003,409,645,macho,maduro,2,comprimento_Q2
216,2003003,1,Toledo a Huron,909,2003,410,721,macho,maduro,2,comprimento_Q2
217,2003003,1,Toledo a Huron,909,2003,410,780,macho,maduro,2,comprimento_Q2
218,2003003,1,Toledo a Huron,909,2003,410,675,fêmea,maduro,2,comprimento_Q2
219,2003003,1,Toledo a Huron,909,2003,411,707,fêmea,imaturo,2,comprimento_Q2
220,2003003,1,Toledo a Huron,909,2003,411,716,macho,maduro,2,comprimento_Q2
221,2003003,1,Toledo a Huron,909,2003,411,744,macho,maduro,3,comprimento_Q2
222,2003003,1,Toledo a Huron,909,2003,412,627,macho,maduro,2,comprimento_Q2
223,2003003,1,Toledo a Huron,909,2003,412,677,macho,maduro,2,comprimento_Q2
224,2003003,1,Toledo a Huron,909,2003,413,704,macho,maduro,2,comprimento_Q2
225,2003003,1,Toledo a Huron,909,2003,415,719,fêmea,maduro,2,comprimento_Q2
226,2003003,1,Toledo a Huron,909,2003,416,693,macho,maduro,2,comprimento_Q2
227,2003003,1,Toledo a Huron,909,2003,416,717,macho,maduro,2,comprimento_Q2
228,2003003,1,Toledo a Huron,909,2003,417,723,macho,maduro,2,comprimento_Q2
229,2003003,1,Toledo a Huron,909,2003,417,748,macho,maduro,2,comprimento_Q2
230,2003003,1,Toledo a Huron,909,2003,418,686,fêmea,imaturo,2,comprimento_Q2
231,2003003,1,Toledo a Huron,909,2003,418,790,macho,maduro,2,comprimento_Q2
232,2003003,1,Toledo a Huron,909,2003,419,724,macho,maduro,2,comprimento_Q2
233,2003003,1,Toledo a Huron,909,2003,420,735,fêmea,imaturo,2,comprimento_Q2
234,2003003,1,Toledo a Huron,909,2003,421,785,macho,maduro,2,comprimento_Q2
235,2003003,1,Toledo a Huron,909,2003,421,751,macho,maduro,2,comprimento_Q2
236,2003003,1,Toledo a Huron,909,2003,422,736,macho,maduro,2,comprimento_Q2
237,2003003,1,Toledo a Huron,909,2003,424,772,macho,maduro,2,comprimento_Q2
238,2003003,1,Toledo a Huron,909,2003,425,785,macho,maduro,2,comprimento_Q2
239,2003003,1,Toledo a Huron,909,2003,425,725,macho,maduro,2,comprimento_Q2
240,2003003,1,Toledo a Huron,909,2003,425,809,macho,maduro,2,comprimento_Q2
241,2003003,1,Toledo a Huron,909,2003,425,767,macho,maduro,2,comprimento_Q2
242,2003003,1,Toledo a Huron,909,2003,425,666,macho,maduro,2,comprimento_Q2
243,2003003,1,Toledo a Huron,909,2003,425,833,macho,maduro,3,comprimento_Q2
244,2003003,1,Toledo a Huron,909,2003,427,761,fêmea,imaturo,2,comprimento_Q2
245,2003003,1,Toledo a Huron,909,2003,428,792,macho,maduro,2,comprimento_Q2
246,2003003,1,Toledo a Huron,909,2003,430,775,macho,maduro,2,comprimento_Q2
247,2003003,1,Toledo a Huron,909,2003,431,788,fêmea,imaturo,2,comprimento_Q2
248,2003003,1,Toledo a Huron,909,2003,431,784,macho,maduro,2,comprimento_Q2
249,2003003,1,Toledo a Huron,909,2003,431,850,macho,maduro,3,comprimento_Q2
250,2003003,1,Toledo a Huron,909,2003,432,707,macho,maduro,2,comprimento_Q2
251,2003003,1,Toledo a Huron,909,2003,433,774,fêmea,imaturo,2,comprimento_Q2
252,2003003,1,Toledo a Huron,909,2003,435,881,fêmea,imaturo,2,comprimento_Q2
253,2003003,1,Toledo a Huron,909,2003,436,797,macho,maduro,3,comprimento_Q2
254,2003003,1,Toledo a Huron,909,2003,444,887,fêmea,maduro,2,comprimento_Q2
255,2003003,1,Toledo a Huron,909,2003,446,885,fêmea,imaturo,2,comprimento_Q2
256,2003003,1,Toledo a Huron,909,2003,446,880,fêmea,imaturo,2,comprimento_Q2
257,2003003,1,Toledo a Huron,909,2003,447,988,macho,maduro,4,comprimento_Q2
258,2003003,1,Toledo a Huron,909,2003,448,1002,macho,maduro,2,comprimento_Q2
259,2003003,1,Toledo a Huron,909,2003,449,901,macho,maduro,3,comprimento_Q2
260,2003003,1,Toledo a Huron,909,2003,377,525,macho,maduro,2,comprimento_Q1
261,2003003,1,Toledo a Huron,909,2003,381,533,fêmea,imaturo,2,comprimento_Q1
262,2003003,1,Toledo a Huron,909,2003,382,619,macho,maduro,2,comprimento_Q1
263,2003003,1,Toledo a Huron,909,2003,383,603,macho,maduro,2,comprimento_Q1
264,2003003,1,Toledo a Huron,909,2003,450,897,macho,maduro,4,comprimento_Q2
265,2003003,1,Toledo a Huron,909,2003,451,1113,macho,maduro,4,comprimento_Q2
266,2003003,1,Toledo a Huron,909,2003,452,958,fêmea,imaturo,2,comprimento_Q2
267,2003003,1,Toledo a Huron,909,2003,454,930,macho,maduro,4,comprimento_Q2
268,2003003,1,Toledo a Huron,909,2003,455,1040,macho,maduro,4,comprimento_Q2
269,2003003,1,Toledo a Huron,909,2003,460,865,fêmea,imaturo,2,comprimento_Q3
270,2003003,1,Toledo a Huron,909,2003,466,1034,macho,maduro,4,comprimento_Q3
271,2003003,1,Toledo a Huron,909,2003,467,961,macho,maduro,4,comprimento_Q3
272,2003003,1,Toledo a Huron,909,2003,472,1053,macho,maduro,4,comprimento_Q3
273,2003003,1,Toledo a Huron,909,2003,473,1142,macho,maduro,4,comprimento_Q3
274,2003003,1,Toledo a Huron,909,2003,480,1061,macho,maduro,6,comprimento_Q3
275,2003003,1,Toledo a Huron,909,2003,482,1117,macho,maduro,3,comprimento_Q3
276,2003003,1,Toledo a Huron,909,2003,482,1098,macho,maduro,4,comprimento_Q3
277,2003003,1,Toledo a Huron,909,2003,482,994,macho,maduro,4,comprimento_Q3
278,2003003,1,Toledo a Huron,909,2003,492,1235,fêmea,maduro,4,comprimento_Q3
279,2003003,1,Toledo a Huron,909,2003,501,1243,macho,maduro,4,comprimento_Q3
280,2003003,1,Toledo a Huron,909,2003,503,1322,macho,maduro,4,comprimento_Q3
281,2003003,1,Toledo a Huron,909,2003,504,1371,macho,maduro,4,comprimento_Q3
282,2003003,1,Toledo a Huron,909,2003,505,1242,fêmea,maduro,4,comprimento_Q3
283,2003003,1,Toledo a Huron,909,2003,507,1462,macho,maduro,4,comprimento_Q3
284,2003003,1,Toledo a Huron,909,2003,507,1420,macho,maduro,4,comprimento_Q3
285,2003003,1,Toledo a Huron,909,2003,508,1244,macho,maduro,4,comprimento_Q3
286,2003003,1,Toledo a Huron,909,2003,510,1329,macho,maduro,6,comprimento_Q3
287,2003003,1,Toledo a Huron,909,2003,512,1551,macho,maduro,4,comprimento_Q3
288,2003003,1,Toledo a Huron,909,2003,515,1475,macho,maduro,4,comprimento_Q4
289,2003003,1,Toledo a Huron,909,2003,517,1305,fêmea,maduro,4,comprimento_Q4
290,2003003,1,Toledo a Huron,909,2003,519,1393,fêmea,maduro,3,comprimento_Q4
291,2003003,1,Toledo a Huron,909,2003,525,1591,macho,maduro,5,comprimento_Q4
292,2003003,1,Toledo a Huron,909,2003,534,1510,macho,maduro,4,comprimento_Q4
293,2003003,1,Toledo a Huron,909,2003,536,1400,macho,maduro,4,comprimento_Q4
294,2003003,1,Toledo a Huron,909,2003,538,1735,fêmea,maduro,4,comprimento_Q4
295,2003003,1,Toledo a Huron,909,2003,545,1718,fêmea,maduro,4,comprimento_Q4
296,2003003,1,Toledo a Huron,909,2003,558,1785,fêmea,maduro,4,comprimento_Q4
297,2003003,1,Toledo a Huron,909,2003,601,2326,macho,maduro,12,comprimento_Q4
298,2003004,1,Toledo a Huron,880,2003,370,487,macho,maduro,2,comprimento_Q1
299,2003004,1,Toledo a Huron,880,2003,392,598,macho,maduro,2,comprimento_Q1
300,2003004,1,Toledo a Huron,880,2003,398,596,macho,maduro,2,comprimento_Q2
301,2003004,1,Toledo a Huron,880,2003,400,660,macho,maduro,2,comprimento_Q2
302,2003004,1,Toledo a Huron,880,2003,405,608,fêmea,imaturo,2,comprimento_Q2
303,2003004,1,Toledo a Huron,880,2003,405,634,macho,maduro,2,comprimento_Q2
304,2003004,1,Toledo a Huron,880,2003,405,642,macho,maduro,2,comprimento_Q2
305,2003004,1,Toledo a Huron,880,2003,410,682,macho,maduro,2,comprimento_Q2
306,2003004,1,Toledo a Huron,880,2003,410,670,macho,maduro,2,comprimento_Q2
307,2003004,1,Toledo a Huron,880,2003,419,728,macho,maduro,2,comprimento_Q2
308,2003004,1,Toledo a Huron,880,2003,420,837,fêmea,imaturo,2,comprimento_Q2
